,File Path,Label
6,Deepfakes/006_002.mp4,FAKE
22,Deepfakes/022_489.mp4,FAKE
27,Deepfakes/027_009.mp4,FAKE
30,Deepfakes/030_193.mp4,FAKE
32,Deepfakes/032_944.mp4,FAKE
38,Deepfakes/038_125.mp4,FAKE
44,Deepfakes/044_945.mp4,FAKE
47,Deepfakes/047_862.mp4,FAKE
52,Deepfakes/052_108.mp4,FAKE
76,Deepfakes/076_079.mp4,FAKE
98,Deepfakes/098_092.mp4,FAKE
105,Deepfakes/105_180.mp4,FAKE
106,Deepfakes/106_198.mp4,FAKE
108,Deepfakes/108_052.mp4,FAKE
109,Deepfakes/109_107.mp4,FAKE
115,Deepfakes/115_939.mp4,FAKE
116,Deepfakes/116_091.mp4,FAKE
122,Deepfakes/122_144.mp4,FAKE
126,Deepfakes/126_104.mp4,FAKE
129,Deepfakes/129_127.mp4,FAKE
134,Deepfakes/134_192.mp4,FAKE
144,Deepfakes/144_122.mp4,FAKE
151,Deepfakes/151_225.mp4,FAKE
163,Deepfakes/163_031.mp4,FAKE
186,Deepfakes/186_170.mp4,FAKE
188,Deepfakes/188_191.mp4,FAKE
190,Deepfakes/190_176.mp4,FAKE
192,Deepfakes/192_134.mp4,FAKE
209,Deepfakes/209_016.mp4,FAKE
223,Deepfakes/223_586.mp4,FAKE
225,Deepfakes/225_151.mp4,FAKE
226,Deepfakes/226_491.mp4,FAKE
241,Deepfakes/241_210.mp4,FAKE
242,Deepfakes/242_182.mp4,FAKE
263,Deepfakes/263_284.mp4,FAKE
267,Deepfakes/267_286.mp4,FAKE
272,Deepfakes/272_396.mp4,FAKE
273,Deepfakes/273_807.mp4,FAKE
281,Deepfakes/281_474.mp4,FAKE
291,Deepfakes/291_874.mp4,FAKE
315,Deepfakes/315_322.mp4,FAKE
322,Deepfakes/322_315.mp4,FAKE
328,Deepfakes/328_320.mp4,FAKE
340,Deepfakes/340_341.mp4,FAKE
343,Deepfakes/343_363.mp4,FAKE
353,Deepfakes/353_383.mp4,FAKE
357,Deepfakes/357_432.mp4,FAKE
369,Deepfakes/369_316.mp4,FAKE
379,Deepfakes/379_158.mp4,FAKE
385,Deepfakes/385_414.mp4,FAKE
397,Deepfakes/397_602.mp4,FAKE
419,Deepfakes/419_824.mp4,FAKE
422,Deepfakes/422_695.mp4,FAKE
425,Deepfakes/425_485.mp4,FAKE
426,Deepfakes/426_287.mp4,FAKE
427,Deepfakes/427_637.mp4,FAKE
430,Deepfakes/430_459.mp4,FAKE
434,Deepfakes/434_438.mp4,FAKE
441,Deepfakes/441_439.mp4,FAKE
447,Deepfakes/447_431.mp4,FAKE
449,Deepfakes/449_451.mp4,FAKE
465,Deepfakes/465_482.mp4,FAKE
466,Deepfakes/466_428.mp4,FAKE
474,Deepfakes/474_281.mp4,FAKE
482,Deepfakes/482_465.mp4,FAKE
484,Deepfakes/484_415.mp4,FAKE
487,Deepfakes/487_477.mp4,FAKE
492,Deepfakes/492_325.mp4,FAKE
500,Deepfakes/500_592.mp4,FAKE
502,Deepfakes/502_504.mp4,FAKE
504,Deepfakes/504_502.mp4,FAKE
516,Deepfakes/516_555.mp4,FAKE
521,Deepfakes/521_517.mp4,FAKE
527,Deepfakes/527_454.mp4,FAKE
529,Deepfakes/529_633.mp4,FAKE
539,Deepfakes/539_499.mp4,FAKE
544,Deepfakes/544_532.mp4,FAKE
560,Deepfakes/560_557.mp4,FAKE
569,Deepfakes/569_921.mp4,FAKE
572,Deepfakes/572_554.mp4,FAKE
577,Deepfakes/577_593.mp4,FAKE
580,Deepfakes/580_524.mp4,FAKE
585,Deepfakes/585_599.mp4,FAKE
586,Deepfakes/586_223.mp4,FAKE
594,Deepfakes/594_530.mp4,FAKE
597,Deepfakes/597_595.mp4,FAKE
603,Deepfakes/603_575.mp4,FAKE
636,Deepfakes/636_578.mp4,FAKE
637,Deepfakes/637_427.mp4,FAKE
640,Deepfakes/640_638.mp4,FAKE
641,Deepfakes/641_662.mp4,FAKE
664,Deepfakes/664_668.mp4,FAKE
671,Deepfakes/671_677.mp4,FAKE
677,Deepfakes/677_671.mp4,FAKE
683,Deepfakes/683_607.mp4,FAKE
690,Deepfakes/690_689.mp4,FAKE
694,Deepfakes/694_767.mp4,FAKE
695,Deepfakes/695_422.mp4,FAKE
706,Deepfakes/706_479.mp4,FAKE
711,Deepfakes/711_681.mp4,FAKE
739,Deepfakes/739_865.mp4,FAKE
743,Deepfakes/743_750.mp4,FAKE
744,Deepfakes/744_674.mp4,FAKE
748,Deepfakes/748_355.mp4,FAKE
751,Deepfakes/751_752.mp4,FAKE
755,Deepfakes/755_759.mp4,FAKE
760,Deepfakes/760_611.mp4,FAKE
774,Deepfakes/774_735.mp4,FAKE
776,Deepfakes/776_676.mp4,FAKE
777,Deepfakes/777_745.mp4,FAKE
778,Deepfakes/778_798.mp4,FAKE
791,Deepfakes/791_770.mp4,FAKE
800,Deepfakes/800_840.mp4,FAKE
803,Deepfakes/803_017.mp4,FAKE
804,Deepfakes/804_738.mp4,FAKE
822,Deepfakes/822_244.mp4,FAKE
824,Deepfakes/824_419.mp4,FAKE
827,Deepfakes/827_817.mp4,FAKE
831,Deepfakes/831_508.mp4,FAKE
836,Deepfakes/836_950.mp4,FAKE
843,Deepfakes/843_859.mp4,FAKE
847,Deepfakes/847_906.mp4,FAKE
854,Deepfakes/854_747.mp4,FAKE
859,Deepfakes/859_843.mp4,FAKE
865,Deepfakes/865_739.mp4,FAKE
871,Deepfakes/871_814.mp4,FAKE
876,Deepfakes/876_891.mp4,FAKE
882,Deepfakes/882_952.mp4,FAKE
890,Deepfakes/890_837.mp4,FAKE
891,Deepfakes/891_876.mp4,FAKE
892,Deepfakes/892_112.mp4,FAKE
895,Deepfakes/895_915.mp4,FAKE
902,Deepfakes/902_901.mp4,FAKE
904,Deepfakes/904_046.mp4,FAKE
910,Deepfakes/910_911.mp4,FAKE
911,Deepfakes/911_910.mp4,FAKE
914,Deepfakes/914_899.mp4,FAKE
921,Deepfakes/921_569.mp4,FAKE
925,Deepfakes/925_933.mp4,FAKE
936,Deepfakes/936_931.mp4,FAKE
944,Deepfakes/944_032.mp4,FAKE
960,Deepfakes/960_999.mp4,FAKE
961,Deepfakes/961_069.mp4,FAKE
964,Deepfakes/964_174.mp4,FAKE
965,Deepfakes/965_948.mp4,FAKE
971,Deepfakes/971_564.mp4,FAKE
975,Deepfakes/975_978.mp4,FAKE
979,Deepfakes/979_875.mp4,FAKE
998,Deepfakes/998_561.mp4,FAKE
999,Deepfakes/999_960.mp4,FAKE
