,File Path,Label
6,FaceShifter/006_002.mp4,FAKE
22,FaceShifter/022_489.mp4,FAKE
27,FaceShifter/027_009.mp4,FAKE
30,FaceShifter/030_193.mp4,FAKE
32,FaceShifter/032_944.mp4,FAKE
38,FaceShifter/038_125.mp4,FAKE
44,FaceShifter/044_945.mp4,FAKE
47,FaceShifter/047_862.mp4,FAKE
52,FaceShifter/052_108.mp4,FAKE
76,FaceShifter/076_079.mp4,FAKE
98,FaceShifter/098_092.mp4,FAKE
105,FaceShifter/105_180.mp4,FAKE
106,FaceShifter/106_198.mp4,FAKE
108,FaceShifter/108_052.mp4,FAKE
109,FaceShifter/109_107.mp4,FAKE
115,FaceShifter/115_939.mp4,FAKE
116,FaceShifter/116_091.mp4,FAKE
122,FaceShifter/122_144.mp4,FAKE
126,FaceShifter/126_104.mp4,FAKE
129,FaceShifter/129_127.mp4,FAKE
134,FaceShifter/134_192.mp4,FAKE
144,FaceShifter/144_122.mp4,FAKE
151,FaceShifter/151_225.mp4,FAKE
163,FaceShifter/163_031.mp4,FAKE
174,FaceShifter/174_964.mp4,FAKE
186,FaceShifter/186_170.mp4,FAKE
188,FaceShifter/188_191.mp4,FAKE
190,FaceShifter/190_176.mp4,FAKE
192,FaceShifter/192_134.mp4,FAKE
209,FaceShifter/209_016.mp4,FAKE
223,FaceShifter/223_586.mp4,FAKE
225,FaceShifter/225_151.mp4,FAKE
226,FaceShifter/226_491.mp4,FAKE
241,FaceShifter/241_210.mp4,FAKE
242,FaceShifter/242_182.mp4,FAKE
263,FaceShifter/263_284.mp4,FAKE
267,FaceShifter/267_286.mp4,FAKE
272,FaceShifter/272_396.mp4,FAKE
273,FaceShifter/273_807.mp4,FAKE
281,FaceShifter/281_474.mp4,FAKE
291,FaceShifter/291_874.mp4,FAKE
315,FaceShifter/315_322.mp4,FAKE
322,FaceShifter/322_315.mp4,FAKE
328,FaceShifter/328_320.mp4,FAKE
340,FaceShifter/340_341.mp4,FAKE
343,FaceShifter/343_363.mp4,FAKE
353,FaceShifter/353_383.mp4,FAKE
357,FaceShifter/357_432.mp4,FAKE
369,FaceShifter/369_316.mp4,FAKE
379,FaceShifter/379_158.mp4,FAKE
385,FaceShifter/385_414.mp4,FAKE
397,FaceShifter/397_602.mp4,FAKE
419,FaceShifter/419_824.mp4,FAKE
422,FaceShifter/422_695.mp4,FAKE
425,FaceShifter/425_485.mp4,FAKE
426,FaceShifter/426_287.mp4,FAKE
427,FaceShifter/427_637.mp4,FAKE
430,FaceShifter/430_459.mp4,FAKE
434,FaceShifter/434_438.mp4,FAKE
441,FaceShifter/441_439.mp4,FAKE
447,FaceShifter/447_431.mp4,FAKE
449,FaceShifter/449_451.mp4,FAKE
465,FaceShifter/465_482.mp4,FAKE
466,FaceShifter/466_428.mp4,FAKE
474,FaceShifter/474_281.mp4,FAKE
482,FaceShifter/482_465.mp4,FAKE
484,FaceShifter/484_415.mp4,FAKE
487,FaceShifter/487_477.mp4,FAKE
492,FaceShifter/492_325.mp4,FAKE
500,FaceShifter/500_592.mp4,FAKE
502,FaceShifter/502_504.mp4,FAKE
504,FaceShifter/504_502.mp4,FAKE
516,FaceShifter/516_555.mp4,FAKE
521,FaceShifter/521_517.mp4,FAKE
527,FaceShifter/527_454.mp4,FAKE
529,FaceShifter/529_633.mp4,FAKE
539,FaceShifter/539_499.mp4,FAKE
544,FaceShifter/544_532.mp4,FAKE
560,FaceShifter/560_557.mp4,FAKE
569,FaceShifter/569_921.mp4,FAKE
572,FaceShifter/572_554.mp4,FAKE
577,FaceShifter/577_593.mp4,FAKE
580,FaceShifter/580_524.mp4,FAKE
585,FaceShifter/585_599.mp4,FAKE
586,FaceShifter/586_223.mp4,FAKE
594,FaceShifter/594_530.mp4,FAKE
597,FaceShifter/597_595.mp4,FAKE
603,FaceShifter/603_575.mp4,FAKE
636,FaceShifter/636_578.mp4,FAKE
637,FaceShifter/637_427.mp4,FAKE
640,FaceShifter/640_638.mp4,FAKE
641,FaceShifter/641_662.mp4,FAKE
664,FaceShifter/664_668.mp4,FAKE
671,FaceShifter/671_677.mp4,FAKE
677,FaceShifter/677_671.mp4,FAKE
683,FaceShifter/683_607.mp4,FAKE
690,FaceShifter/690_689.mp4,FAKE
694,FaceShifter/694_767.mp4,FAKE
695,FaceShifter/695_422.mp4,FAKE
706,FaceShifter/706_479.mp4,FAKE
711,FaceShifter/711_681.mp4,FAKE
739,FaceShifter/739_865.mp4,FAKE
743,FaceShifter/743_750.mp4,FAKE
744,FaceShifter/744_674.mp4,FAKE
748,FaceShifter/748_355.mp4,FAKE
751,FaceShifter/751_752.mp4,FAKE
755,FaceShifter/755_759.mp4,FAKE
760,FaceShifter/760_611.mp4,FAKE
774,FaceShifter/774_735.mp4,FAKE
776,FaceShifter/776_676.mp4,FAKE
777,FaceShifter/777_745.mp4,FAKE
778,FaceShifter/778_798.mp4,FAKE
791,FaceShifter/791_770.mp4,FAKE
800,FaceShifter/800_840.mp4,FAKE
803,FaceShifter/803_017.mp4,FAKE
804,FaceShifter/804_738.mp4,FAKE
822,FaceShifter/822_244.mp4,FAKE
824,FaceShifter/824_419.mp4,FAKE
