,File Path,Label
2,FaceSwap/002_006.mp4,FAKE
6,FaceSwap/006_002.mp4,FAKE
9,FaceSwap/009_027.mp4,FAKE
22,FaceSwap/022_489.mp4,FAKE
27,FaceSwap/027_009.mp4,FAKE
30,FaceSwap/030_193.mp4,FAKE
31,FaceSwap/031_163.mp4,FAKE
32,FaceSwap/032_944.mp4,FAKE
38,FaceSwap/038_125.mp4,FAKE
47,FaceSwap/047_862.mp4,FAKE
52,FaceSwap/052_108.mp4,FAKE
69,FaceSwap/069_961.mp4,FAKE
76,FaceSwap/076_079.mp4,FAKE
79,FaceSwap/079_076.mp4,FAKE
91,FaceSwap/091_116.mp4,FAKE
104,FaceSwap/104_126.mp4,FAKE
105,FaceSwap/105_180.mp4,FAKE
108,FaceSwap/108_052.mp4,FAKE
112,FaceSwap/112_892.mp4,FAKE
115,FaceSwap/115_939.mp4,FAKE
116,FaceSwap/116_091.mp4,FAKE
122,FaceSwap/122_144.mp4,FAKE
125,FaceSwap/125_038.mp4,FAKE
126,FaceSwap/126_104.mp4,FAKE
127,FaceSwap/127_129.mp4,FAKE
129,FaceSwap/129_127.mp4,FAKE
134,FaceSwap/134_192.mp4,FAKE
144,FaceSwap/144_122.mp4,FAKE
151,FaceSwap/151_225.mp4,FAKE
163,FaceSwap/163_031.mp4,FAKE
176,FaceSwap/176_190.mp4,FAKE
180,FaceSwap/180_105.mp4,FAKE
182,FaceSwap/182_242.mp4,FAKE
188,FaceSwap/188_191.mp4,FAKE
190,FaceSwap/190_176.mp4,FAKE
191,FaceSwap/191_188.mp4,FAKE
192,FaceSwap/192_134.mp4,FAKE
193,FaceSwap/193_030.mp4,FAKE
210,FaceSwap/210_241.mp4,FAKE
223,FaceSwap/223_586.mp4,FAKE
225,FaceSwap/225_151.mp4,FAKE
226,FaceSwap/226_491.mp4,FAKE
241,FaceSwap/241_210.mp4,FAKE
242,FaceSwap/242_182.mp4,FAKE
263,FaceSwap/263_284.mp4,FAKE
267,FaceSwap/267_286.mp4,FAKE
272,FaceSwap/272_396.mp4,FAKE
273,FaceSwap/273_807.mp4,FAKE
281,FaceSwap/281_474.mp4,FAKE
284,FaceSwap/284_263.mp4,FAKE
286,FaceSwap/286_267.mp4,FAKE
291,FaceSwap/291_874.mp4,FAKE
315,FaceSwap/315_322.mp4,FAKE
316,FaceSwap/316_369.mp4,FAKE
320,FaceSwap/320_328.mp4,FAKE
322,FaceSwap/322_315.mp4,FAKE
328,FaceSwap/328_320.mp4,FAKE
340,FaceSwap/340_341.mp4,FAKE
341,FaceSwap/341_340.mp4,FAKE
355,FaceSwap/355_748.mp4,FAKE
369,FaceSwap/369_316.mp4,FAKE
396,FaceSwap/396_272.mp4,FAKE
415,FaceSwap/415_484.mp4,FAKE
419,FaceSwap/419_824.mp4,FAKE
422,FaceSwap/422_695.mp4,FAKE
427,FaceSwap/427_637.mp4,FAKE
431,FaceSwap/431_447.mp4,FAKE
439,FaceSwap/439_441.mp4,FAKE
