,File Path,Label
2,NeuralTextures/002_006.mp4,FAKE
6,NeuralTextures/006_002.mp4,FAKE
9,NeuralTextures/009_027.mp4,FAKE
22,NeuralTextures/022_489.mp4,FAKE
27,NeuralTextures/027_009.mp4,FAKE
30,NeuralTextures/030_193.mp4,FAKE
31,NeuralTextures/031_163.mp4,FAKE
32,NeuralTextures/032_944.mp4,FAKE
38,NeuralTextures/038_125.mp4,FAKE
47,NeuralTextures/047_862.mp4,FAKE
52,NeuralTextures/052_108.mp4,FAKE
69,NeuralTextures/069_961.mp4,FAKE
76,NeuralTextures/076_079.mp4,FAKE
79,NeuralTextures/079_076.mp4,FAKE
91,NeuralTextures/091_116.mp4,FAKE
104,NeuralTextures/104_126.mp4,FAKE
105,NeuralTextures/105_180.mp4,FAKE
108,NeuralTextures/108_052.mp4,FAKE
112,NeuralTextures/112_892.mp4,FAKE
115,NeuralTextures/115_939.mp4,FAKE
116,NeuralTextures/116_091.mp4,FAKE
122,NeuralTextures/122_144.mp4,FAKE
125,NeuralTextures/125_038.mp4,FAKE
126,NeuralTextures/126_104.mp4,FAKE
127,NeuralTextures/127_129.mp4,FAKE
129,NeuralTextures/129_127.mp4,FAKE
134,NeuralTextures/134_192.mp4,FAKE
144,NeuralTextures/144_122.mp4,FAKE
151,NeuralTextures/151_225.mp4,FAKE
163,NeuralTextures/163_031.mp4,FAKE
176,NeuralTextures/176_190.mp4,FAKE
180,NeuralTextures/180_105.mp4,FAKE
182,NeuralTextures/182_242.mp4,FAKE
188,NeuralTextures/188_191.mp4,FAKE
190,NeuralTextures/190_176.mp4,FAKE
191,NeuralTextures/191_188.mp4,FAKE
192,NeuralTextures/192_134.mp4,FAKE
193,NeuralTextures/193_030.mp4,FAKE
210,NeuralTextures/210_241.mp4,FAKE
223,NeuralTextures/223_586.mp4,FAKE
225,NeuralTextures/225_151.mp4,FAKE
226,NeuralTextures/226_491.mp4,FAKE
241,NeuralTextures/241_210.mp4,FAKE
242,NeuralTextures/242_182.mp4,FAKE
263,NeuralTextures/263_284.mp4,FAKE
267,NeuralTextures/267_286.mp4,FAKE
272,NeuralTextures/272_396.mp4,FAKE
273,NeuralTextures/273_807.mp4,FAKE
281,NeuralTextures/281_474.mp4,FAKE
284,NeuralTextures/284_263.mp4,FAKE
286,NeuralTextures/286_267.mp4,FAKE
291,NeuralTextures/291_874.mp4,FAKE
315,NeuralTextures/315_322.mp4,FAKE
316,NeuralTextures/316_369.mp4,FAKE
320,NeuralTextures/320_328.mp4,FAKE
322,NeuralTextures/322_315.mp4,FAKE
328,NeuralTextures/328_320.mp4,FAKE
340,NeuralTextures/340_341.mp4,FAKE
341,NeuralTextures/341_340.mp4,FAKE
355,NeuralTextures/355_748.mp4,FAKE
369,NeuralTextures/369_316.mp4,FAKE
396,NeuralTextures/396_272.mp4,FAKE
415,NeuralTextures/415_484.mp4,FAKE
419,NeuralTextures/419_824.mp4,FAKE
422,NeuralTextures/422_695.mp4,FAKE
427,NeuralTextures/427_637.mp4,FAKE
431,NeuralTextures/431_447.mp4,FAKE
439,NeuralTextures/439_441.mp4,FAKE
441,NeuralTextures/441_439.mp4,FAKE
447,NeuralTextures/447_431.mp4,FAKE
449,NeuralTextures/449_451.mp4,FAKE
451,NeuralTextures/451_449.mp4,FAKE
465,NeuralTextures/465_482.mp4,FAKE
474,NeuralTextures/474_281.mp4,FAKE
477,NeuralTextures/477_487.mp4,FAKE
479,NeuralTextures/479_706.mp4,FAKE
482,NeuralTextures/482_465.mp4,FAKE
484,NeuralTextures/484_415.mp4,FAKE
487,NeuralTextures/487_477.mp4,FAKE
489,NeuralTextures/489_022.mp4,FAKE
491,NeuralTextures/491_226.mp4,FAKE
499,NeuralTextures/499_539.mp4,FAKE
500,NeuralTextures/500_592.mp4,FAKE
502,NeuralTextures/502_504.mp4,FAKE
504,NeuralTextures/504_502.mp4,FAKE
508,NeuralTextures/508_831.mp4,FAKE
517,NeuralTextures/517_521.mp4,FAKE
521,NeuralTextures/521_517.mp4,FAKE
524,NeuralTextures/524_580.mp4,FAKE
539,NeuralTextures/539_499.mp4,FAKE
569,NeuralTextures/569_921.mp4,FAKE
580,NeuralTextures/580_524.mp4,FAKE
586,NeuralTextures/586_223.mp4,FAKE
592,NeuralTextures/592_500.mp4,FAKE
595,NeuralTextures/595_597.mp4,FAKE
597,NeuralTextures/597_595.mp4,FAKE
607,NeuralTextures/607_683.mp4,FAKE
611,NeuralTextures/611_760.mp4,FAKE
637,NeuralTextures/637_427.mp4,FAKE
638,NeuralTextures/638_640.mp4,FAKE
640,NeuralTextures/640_638.mp4,FAKE
664,NeuralTextures/664_668.mp4,FAKE
668,NeuralTextures/668_664.mp4,FAKE
671,NeuralTextures/671_677.mp4,FAKE
674,NeuralTextures/674_744.mp4,FAKE
677,NeuralTextures/677_671.mp4,FAKE
683,NeuralTextures/683_607.mp4,FAKE
